data_pregao,codigo_bdi,codigo_negociacao,tipo_mercado,nome_empresa,especificacao_papel,moeda,preco_abertura,preco_maximo,preco_minimo,preco_medio,preco_ultimo,preco_melhor_oferta_compra,preco_melhor_oferta_venda,numero_negocios,quantidade_total,volume_total
20030212,96,BBAS3F,020,BRASIL,ON *ED,R$,9.89,9.9,9.6,9.67,9.72,9.41,9.73,40,826452,7993.61
20030212,02,BBAS3,010,BRASIL,ON *ED,R$,9.58,9.78,9.58,9.67,9.63,9.63,9.7,329,444600000,4299709.0
20030212,02,BAZA3,010,AMAZONIA,ON *,R$,160.0,160.0,160.0,160.0,160.0,158.0,165.0,2,50000,8000.0
20030212,96,BESP4F,020,BANESPA,PN *,R$,180.0,185.0,180.0,181.25,185.0,180.0,185.0,2,1869,338.76
20030212,02,BESP4,010,BANESPA,PN *,R$,185.0,185.0,185.0,185.0,185.0,185.0,188.99,1,40000,7400.0
20030212,96,BESP3F,020,BANESPA,ON *,R$,175.0,185.0,175.0,176.87,185.0,175.0,185.0,2,4491,794.33
20030212,02,BESP3,010,BANESPA,ON *,R$,185.0,185.0,185.0,185.0,185.0,171.1,199.0,2,20000,3700.0
20030212,96,BELG4F,020,BELGO MINEIR,PN *,R$,415.0,422.0,415.0,415.36,422.0,422.0,424.0,7,19082,7926.03
20030212,96,BELG3F,020,BELGO MINEIR,ON *,R$,367.01,375.0,367.01,371.0,375.0,367.1,0.0,2,13392,4968.49
20030212,02,BIOM4,010,BIOMM,PN,R$,0.65,0.65,0.65,0.65,0.65,0.6,0.7,2,4000,2600.0
20030212,96,BRAP4F,020,BRADESPAR,PN *    N1,R$,0.67,0.69,0.66,0.67,0.67,0.66,0.67,33,1198865,803.94
20030212,02,BRAP4,010,BRADESPAR,PN *    N1,R$,0.67,0.69,0.67,0.67,0.67,0.67,0.68,231,3674000000,2485212.0
20030212,96,BRAP3F,020,BRADESPAR,ON *    N1,R$,0.57,0.59,0.56,0.56,0.59,0.56,0.59,10,247021,140.24
20030212,02,BRAP3,010,BRADESPAR,ON *    N1,R$,0.57,0.59,0.57,0.57,0.58,0.58,0.59,30,895700000,514787.0
20030212,96,BOBR4F,020,BOMBRIL,PN *,R$,6.5,6.5,5.91,5.97,6.0,5.9,0.0,5,117470,702.35
20030212,02,BOBR4,010,BOMBRIL,PN *,R$,6.03,6.04,5.91,6.01,6.0,5.91,6.0,67,100000000,601011.0
20030212,02,BNBR4,010,NORD BRASIL,PN *,R$,1.0,1.02,1.0,1.01,1.02,0.5,2.0,2,6000000,6118.0
